Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
51183428,The Love Songs of W.E.B. Du Bois,Honorée Fanonne Jeffers,"Jeffers, Honorée Fanonne",,"=""006294293X""","=""9780062942937""",0,4.51,Harper ,Hardcover,816,2021,2021,,2022/03/16,to-read,to-read (#230),to-read,,,,0,0
43206882,Post-Capitalist Desire,Mark Fisher,"Fisher, Mark",,"=""""","=""""",0,4.28,,Unknown Binding,,,2020,,2022/03/14,to-read,to-read (#229),to-read,,,,0,0
57474,A Cook's Tour: In Search of the Perfect Meal,Anthony Bourdain,"Bourdain, Anthony",,"=""1582341400""","=""9781582341408""",0,4.10,Bloomsbury USA,Hardcover,274,2001,2001,,2022/03/02,to-read,to-read (#228),to-read,,,,0,0
425516,The Silver Devil,Teresa Denys,"Denys, Teresa",,"=""0345289927""","=""9780345289926""",0,3.66,Ballantine Books,Mass Market Paperback,373,1984,1978,,2022/02/14,to-read,to-read (#227),to-read,,,,0,0
23617709,"The Rogue Not Taken (Scandal & Scoundrel, #1)",Sarah MacLean,"MacLean, Sarah",,"=""0062379410""","=""9780062379412""",0,3.96,Avon,Mass Market Paperback,419,2015,2015,,2022/02/14,to-read,to-read (#226),to-read,,,,0,0
114162,"Secrets of a Summer Night (Wallflowers, #1)",Lisa Kleypas,"Kleypas, Lisa",,"=""0061259349""","=""9780061259340""",0,4.01,Avon,Mass Market Paperback,384,2006,2004,,2022/02/14,to-read,to-read (#225),to-read,,,,0,0
1477363,On Seeing the 100% Perfect Girl on One Beautiful April Morning,Haruki Murakami,"Murakami, Haruki",,"=""""","=""""",3,3.74,,,5,1993,1981,2022/02/01,2022/02/01,recommended-to-me,recommended-to-me (#15),read,,,,1,0
55648820,Seven Days in June,Tia Williams,"Williams, Tia",,"=""""","=""""",0,3.99,Grand Central Publishing,Hardcover,336,2021,2021,,2022/01/23,to-read,to-read (#224),to-read,,,,0,0
59452404,The Vanishing Half,Brit Bennett,"Bennett, Brit",,"=""0525536965""","=""9780525536963""",0,4.13,Riverhead Books,Paperback,389,2022,2020,,2022/01/18,to-read,to-read (#223),to-read,,,,0,0
403642,First Love,Ivan Turgenev,"Turgenev, Ivan","Isaiah Berlin, V.S. Pritchett","=""0140443355""","=""9780140443356""",0,3.76,Penguin Classics,Paperback,107,1978,1860,,2022/01/13,to-read,to-read (#222),to-read,,,,0,0
40170500,Disoriental,Négar Djavadi,"Djavadi, Négar",Tina Kover,"=""1787700003""","=""9781787700000""",0,4.20,Europa Editions,Kindle Edition,346,2018,2016,,2022/01/12,to-read,to-read (#221),to-read,,,,0,0
49130720,Girls Against God,Jenny Hval,"Hval, Jenny",Marjam Idriss,"=""""","=""""",0,3.01,Verso,Paperback,240,2020,2018,,2022/01/11,to-read,to-read (#220),to-read,,,,0,0
18339630,All My Puny Sorrows,Miriam Toews,"Toews, Miriam",,"=""0345808002""","=""9780345808004""",0,4.01,Knopf Canada,Hardcover,321,2014,2014,,2022/01/10,to-read,to-read (#219),to-read,,,,0,0
37004370,The Memory Police,Yōko Ogawa,"Ogawa, Yōko",Stephen    Snyder,"=""1101870605""","=""9781101870600""",0,3.71,Pantheon,Hardcover,274,2019,1994,2022/01/10,2021/06/02,"dnf, magical-realism","dnf (#21), magical-realism (#5)",read,,,,1,0
10260,The Pleasure of Finding Things Out: The Best Short Works of Richard P. Feynman,Richard P. Feynman,"Feynman, Richard P.","Jeffrey Robbins, Freeman Dyson","=""""","=""""",0,4.23,Basic Books,Paperback,270,2005,1999,2021/07/06,2021/07/06,"dnf, bad-writing, disappointed, essays, hyped, meh, memoir, nonfiction, read-less-than-a-third","dnf (#19), bad-writing (#5), disappointed (#20), essays (#7), hyped (#30), meh (#44), memoir (#4), nonfiction (#24), read-less-than-a-third (#4)",read,,,,1,0
57127277,Kaikeyi,Vaishnavi Patel,"Patel, Vaishnavi",,"=""0759557330""","=""9780759557338""",0,4.18,Redhook,Hardcover,478,2022,2022,,2022/01/09,to-read,to-read (#218),to-read,,,,0,0
32620332,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""1501139231""","=""9781501139239""",2,4.40,Atria Books,Hardcover,389,2017,2017,2020/08/26,2020/08/08,"lgbt, historical, on-life-and-living, disappointed, family, meh, would-almost-recommend, no-vision, hyped","lgbt (#15), historical (#14), on-life-and-living (#37), disappointed (#17), family (#6), meh (#39), would-almost-recommend (#7), no-vision (#3), hyped (#31)",read,,,,1,0
14760312,Cobalt Blue,Sachin Kundalkar,"Kundalkar, Sachin",Jerry Pinto,"=""8174865381""","=""9788174865380""",0,3.95,Hamish Hamilton,Hardcover,224,2013,2006,,2022/01/08,to-read,to-read (#217),to-read,,,,0,0
9712,Love in the Time of Cholera,Gabriel García Márquez,"Márquez, Gabriel García","Edith Grossman, Kjell Risvik, Carlos Marrodán Casas","=""140003468X""","=""9781400034680""",3,3.94,Vintage International,Paperback,348,2003,1985,2019/07/24,2019/07/24,"better-than-expected, favorites, i-vibe-w-the-writing, historical, recommend, on-life-and-living, wow, not-really-romantic, reread-later, pretty-prose, classics, dark, obsessive, i-got-stockholm-syndrome","better-than-expected (#25), favorites (#9), i-vibe-w-the-writing (#9), historical (#6), recommend (#23), on-life-and-living (#33), wow (#34), not-really-romantic (#1), reread-later (#1), pretty-prose (#1), classics (#1), dark (#15), obsessive (#1), i-got-stockholm-syndrome (#2)",read,,,,1,0
2040424,Saatleri Ayarlama Enstitüsü,Ahmet Hamdi Tanpınar,"Tanpınar, Ahmet Hamdi",,"=""""","=""9789757462378""",0,4.39,Dergah Yayınları,Paperback,395,2005,1954,,2022/01/08,to-read,to-read (#216),to-read,,,,0,0
59637445,"I’d Like to Say Sorry, But There’s No One to Say Sorry To",Mikołaj Grynberg,"Grynberg, Mikołaj",Sean Gasper Bye,"=""1620976838""","=""9781620976838""",0,4.40,The New Press,Hardcover,160,2022,2017,,2022/01/08,to-read,to-read (#215),to-read,,,,0,0
1768603,The White Tiger,Aravind Adiga,"Adiga, Aravind",,"=""1416562591""","=""9781416562597""",3,3.77,Free Press,Hardcover,276,2008,2008,2021/05/13,2021/05/13,"asian-lit, atmospheric, cool-concept-bad-execution, dark, flat-characters, metaphors, pedantic, shocking, class, for-white-ppl","asian-lit (#6), atmospheric (#8), cool-concept-bad-execution (#10), dark (#22), flat-characters (#9), metaphors (#5), pedantic (#4), shocking (#3), class (#1), for-white-ppl (#2)",read,,,,1,0
44436221,Interior Chinatown,Charles Yu,"Yu, Charles",,"=""""","=""""",2,3.95,Pantheon,Hardcover,288,2020,2020,2021/11/04,2021/10/21,"asian-lit, ebook, family, metaphors, i-cried, race, dragged-on, has-vision, for-white-ppl","asian-lit (#11), ebook (#15), family (#17), metaphors (#13), i-cried (#14), race (#15), dragged-on (#22), has-vision (#17), for-white-ppl (#1)",read,,,,1,0
1362808,Dumb Luck,Vũ Trọng Phụng,"Phụng, Vũ Trọng","Peter Zinoman, Nguyễn Nguyệt Cầm","=""0472068040""","=""9780472068043""",0,4.17,University of Michigan Press,Paperback,189,2002,1936,,2022/01/05,to-read,to-read (#214),to-read,,,,0,0
50196744,Know My Name,Chanel Miller,"Miller, Chanel",,"=""0735223718""","=""9780735223714""",0,4.69,Viking,ebook,384,2019,2019,,2022/01/05,to-read,to-read (#213),to-read,,,,0,0
35297469,Starry Eyes,Jenn Bennett,"Bennett, Jenn",,"=""148147880X""","=""9781481478809""",0,3.96,Simon & Schuster Books for Young Readers,Hardcover,421,2018,2018,,2022/01/05,to-read,to-read (#212),to-read,,,,0,0
41880609,On Earth We're Briefly Gorgeous,Ocean Vuong,"Vuong, Ocean",,"=""0525562028""","=""9780525562023""",0,4.02,Penguin Press,Hardcover,246,2019,2019,2020/11/10,2020/08/16,"asian-lit, atmospheric, calming, contemporary, family, for-artists, recommended-to-me, on-life-and-living, lgbt","asian-lit (#5), atmospheric (#4), calming (#2), contemporary (#2), family (#8), for-artists (#2), recommended-to-me (#6), on-life-and-living (#38), lgbt (#17)",read,,,,1,0
35036409,"My Brilliant Friend (Neapolitan Novels, #1)",Elena Ferrante,"Ferrante, Elena",Ann Goldstein,"=""""","=""""",4,4.05,Penguin Random House ,Paperback,331,2012,2011,2022/01/04,2021/08/12,"modern-classics, i-cried, many-characters, metaphors, relatable, dragged-on, historical, lgbt, larger-than-life, savory, i-got-stockholm-syndrome, no-vision, contemporary, doesnt-deserve-the-hype","modern-classics (#5), i-cried (#15), many-characters (#8), metaphors (#14), relatable (#13), dragged-on (#25), historical (#27), lgbt (#27), larger-than-life (#9), savory (#7), i-got-stockholm-syndrome (#1), no-vision (#9), contemporary (#4), doesnt-deserve-the-hype (#23)",read,,,,1,0
32191706,The Color of Law: A Forgotten History of How Our Government Segregated America,Richard Rothstein,"Rothstein, Richard",,"=""1631492853""","=""9781631492853""",0,4.44,Liveright,Hardcover,368,2017,2017,,2022/01/03,to-read,to-read (#211),to-read,,,,0,0
58587145,Woman of Light,Kali Fajardo-Anstine,"Fajardo-Anstine, Kali",,"=""0525511326""","=""9780525511328""",0,3.64,One World,Hardcover,336,2022,2022,,2022/01/03,to-read,to-read (#210),to-read,,,,0,0
52863291,Inferno: A Memoir of Motherhood and Madness,Catherine Cho,"Cho, Catherine",,"=""1250623715""","=""9781250623713""",0,4.24,Henry Holt and Co.,Hardcover,242,2020,2020,,2022/01/03,to-read,to-read (#209),to-read,,,,0,0
58673915,The Sun Also Rises,Ernest Hemingway,"Hemingway, Ernest",,"=""1982199520""","=""9781982199524""",0,3.79,Pocket Books,Mass Market Paperback,272,2021,1926,,2021/12/31,to-read,to-read (#208),to-read,,,,0,0
55881796,Crossroads,Jonathan Franzen,"Franzen, Jonathan",,"=""0374181179""","=""9780374181178""",0,4.06,"Farrar, Straus and Giroux",Hardcover,592,2021,2021,,2021/12/31,to-read,to-read (#207),to-read,,,,0,0
61049,Autobiography of Red,Anne Carson,"Carson, Anne",Stesichorus,"=""037570129X""","=""9780375701290""",0,4.26,Vintage Books,Paperback,160,1999,1998,2021/12/27,2021/12/04,"doesnt-deserve-the-hype, lgbt, no-vision, dnf","doesnt-deserve-the-hype (#22), lgbt (#26), no-vision (#8), dnf (#20)",read,,,,1,0
33313,Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,"Bourdain, Anthony",,"=""0060899220""","=""9780060899226""",3,4.18,Ecco/Harper Perennial,Paperback,312,2007,2000,2021/12/31,2021/07/29,"atmospheric, better-than-expected, cult, dragged-on, funny-and-ish, i-vibe-w-the-writing, good, has-vision, memoir, nonfiction, recommended-to-me, wow","atmospheric (#19), better-than-expected (#37), cult (#4), dragged-on (#24), funny-and-ish (#16), i-vibe-w-the-writing (#20), good (#18), has-vision (#18), memoir (#6), nonfiction (#27), recommended-to-me (#14), wow (#53)",read,,,,1,0
10975,The Sound and the Fury,William Faulkner,"Faulkner, William",,"=""""","=""""",0,3.86,Vintage International,Paperback,366,1990,1929,,2021/12/29,"fav-book-titles, to-read","fav-book-titles (#7), to-read (#206)",to-read,,,,0,0
3876,The Sun Also Rises,Ernest Hemingway,"Hemingway, Ernest",,"=""""","=""""",0,3.79,Pan Books,Paperback,189,1957,1926,,2021/12/29,"fav-book-titles, to-read","fav-book-titles (#6), to-read (#205)",to-read,,,,0,0
